open_time,open,high,low,close,volume,amount,close_time
1714343400000,63480.4200000000000000000000000000,63480.4200000000000000000000000000,62878.0000000000000000000000000000,63193.2300000000000000000000000000,14.83419200,936972.720000000000000000,1714343700000
1714343700000,63193.2300000000000000000000000000,63256.7700000000000000000000000000,63077.7700000000000000000000000000,63171.6500000000000000000000000000,18.56959200,1173093.180000000000000000,1714344000000
1714344000000,63171.6500000000000000000000000000,63260.0000000000000000000000000000,63130.0000000000000000000000000000,63247.0300000000000000000000000000,7.70295000,486621.900000000000000000,1714344300000
1714344300000,63247.0300000000000000000000000000,63247.0300000000000000000000000000,63105.7100000000000000000000000000,63135.8400000000000000000000000000,11.72450500,740465.000000000000000000,1714344600000
1714344600000,63135.8400000000000000000000000000,63198.3400000000000000000000000000,63135.8400000000000000000000000000,63172.4200000000000000000000000000,14.79642600,934679.700000000000000000,1714344900000
1714344900000,63172.4200000000000000000000000000,63192.6000000000000000000000000000,63110.0000000000000000000000000000,63151.0600000000000000000000000000,9.41193300,594268.970000000000000000,1714345200000
1714345200000,63151.0600000000000000000000000000,63151.0600000000000000000000000000,62905.5500000000000000000000000000,62976.0500000000000000000000000000,14.95488500,943172.960000000000000000,1714345500000
1714345500000,62976.0500000000000000000000000000,63016.0000000000000000000000000000,62781.7800000000000000000000000000,63010.0100000000000000000000000000,14.81897600,932514.320000000000000000,1714345800000
1714345800000,63010.0100000000000000000000000000,63014.9400000000000000000000000000,62922.2200000000000000000000000000,62958.6800000000000000000000000000,8.42103300,530066.030000000000000000,1714346100000
1714346100000,62958.6800000000000000000000000000,62961.4000000000000000000000000000,62803.9700000000000000000000000000,62874.0000000000000000000000000000,10.44242200,656532.360000000000000000,1714346400000
1714346400000,62874.0000000000000000000000000000,62981.7600000000000000000000000000,62866.8800000000000000000000000000,62957.5600000000000000000000000000,3.69011700,232207.500000000000000000,1714346700000
1714346700000,62957.5600000000000000000000000000,63056.0100000000000000000000000000,62948.0000000000000000000000000000,62974.5400000000000000000000000000,3.26013900,205331.870000000000000000,1714347000000
1714347000000,62974.5400000000000000000000000000,63034.8200000000000000000000000000,62890.8500000000000000000000000000,62973.3000000000000000000000000000,13.48701200,849108.390000000000000000,1714347300000
1714347300000,62973.3000000000000000000000000000,62973.3000000000000000000000000000,62836.0500000000000000000000000000,62875.3000000000000000000000000000,14.30522700,900075.440000000000000000,1714347600000
1714347600000,62875.3000000000000000000000000000,62969.9300000000000000000000000000,62828.6600000000000000000000000000,62930.0100000000000000000000000000,14.58239000,917337.510000000000000000,1714347900000
